district_school,GRADE_LEVEL,SCHOOL_NAME,DISTRICT_NAME,Disability__Autism,Disability__Blind_and_Visually_Impaired,Disability__Deaf_or_Hard_of_Hearing,Disability__Deafblind,Disability__Emotional_Behavioral_Disability,Disability__Intellectual_Disability,Disability__Not_IDEA_Eligible_or_No_Disability,Disability__Orthopedic_Impairment,Disability__Other_Health_Impairment,Disability__Significant_Developmental_Delay,Disability__Specific_Learning_Disability,Disability__Speech_or_Language_Impairment,Disability__Traumatic_Brain_Injury,Disability_Status__SwD,Disability_Status__SwoD,Economic_Status__Econ_Disadv,Economic_Status__Not_Econ_Disadv,EL_Status__EL,EL_Status__Eng_Prof,EL_Status__Unknown,Gender__Female,Gender__Male,Gender__Non-binary,Migrant_Status__Migrant,Migrant_Status__Not_Migrant,Race/Ethnicity__Amer_Indian,Race/Ethnicity__Asian,Race/Ethnicity__Black,Race/Ethnicity__Hispanic,Race/Ethnicity__Pacific_Isle,Race/Ethnicity__Two_or_More,Race/Ethnicity__White,Economic_Status__Unknown,Disability__Unknown,Disability_Status__Unknown,Race/Ethnicity__Unknown,Economic_Status__[Data_Suppressed],Disability__[Data_Suppressed],Disability_Status__[Data_Suppressed],Gender__[Data_Suppressed],Migrant_Status__[Data_Suppressed]
0000NA,1,[Statewide],[Statewide],1.89,0.05,0.17,*,0.30,0.10,83.78,0.09,1.22,3.96,0.04,8.38,*,16.22,83.78,44.05,55.95,8.10,91.89,0.01,*,51.66,*,0.03,99.97,1.02,4.44,8.70,13.90,0.09,6.00,65.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,10,[Statewide],[Statewide],1.53,0.05,0.19,*,1.85,0.89,86.87,0.07,4.05,NA,4.22,0.25,*,13.13,86.87,38.52,61.48,5.47,94.52,0.00,48.46,51.46,0.08,0.03,99.97,1.07,3.86,8.78,13.29,0.07,4.41,68.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,11,[Statewide],[Statewide],1.55,0.07,0.18,*,1.84,0.97,87.16,0.06,3.82,*,4.07,0.22,*,12.84,87.16,36.40,63.60,4.81,95.19,NA,48.62,51.30,0.08,0.03,99.97,1.06,3.92,7.85,13.43,0.09,4.13,69.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,12,[Statewide],[Statewide],2.45,0.06,0.18,NA,1.89,2.04,85.27,0.12,3.76,NA,4.00,0.16,0.07,14.73,85.27,34.04,65.96,4.55,95.44,0.00,48.53,51.40,0.07,0.02,99.98,1.11,3.95,7.59,12.78,0.08,3.86,70.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,2,[Statewide],[Statewide],1.80,0.07,0.18,NA,0.49,0.18,83.65,0.10,1.88,3.86,0.48,7.31,0.01,16.35,83.65,44.00,56.00,8.08,91.92,0.00,*,51.57,*,0.01,99.99,1.02,4.45,8.63,13.55,0.08,5.94,66.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,3,[Statewide],[Statewide],1.79,0.06,0.22,*,0.80,0.34,83.50,0.08,2.50,3.14,1.93,5.61,*,16.50,83.50,43.67,56.33,8.61,91.38,0.01,48.29,51.70,0.01,0.03,99.97,1.02,4.65,8.64,13.56,0.07,5.79,66.28,0.00,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,4,[Statewide],[Statewide],1.97,0.06,0.26,*,1.08,0.65,84.01,0.09,3.28,1.29,3.40,3.88,*,15.99,84.01,42.86,57.14,8.51,91.47,0.01,48.77,51.22,0.02,0.04,99.96,1.03,4.64,8.48,13.61,0.08,5.63,66.54,0.00,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,5,[Statewide],[Statewide],1.99,0.05,0.24,*,1.27,0.72,84.66,0.08,3.78,0.10,4.33,2.74,*,15.34,84.66,42.92,57.08,7.83,92.17,0.01,48.40,51.57,0.02,0.04,99.96,0.99,4.55,8.25,13.86,0.06,5.54,66.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,6,[Statewide],[Statewide],1.82,0.04,0.22,*,1.54,0.80,85.16,0.08,4.05,0.04,4.64,1.56,*,14.84,85.16,42.14,57.86,6.49,93.49,0.02,48.67,51.30,0.03,0.03,99.97,1.06,4.28,8.30,13.89,0.08,5.15,67.24,NA,0.00,0.00,NA,NA,NA,NA,NA,NA
0000NA,7,[Statewide],[Statewide],1.90,0.05,0.22,*,1.61,0.78,85.57,0.07,4.06,*,4.70,0.99,*,14.43,85.57,41.91,58.09,6.42,93.57,0.01,48.61,51.33,0.05,0.03,99.97,1.06,4.06,8.48,13.82,0.06,5.00,67.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
