MUNINAME,year,vulnerable_role,ped_inj_name,driver_sex,count
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,F,3
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,M,5
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,UNKN,1
MILWAUKEE,2017,Bicyclist,Fatality,M,1
MILWAUKEE,2017,Bicyclist,Fatality,UNKN,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,F,12
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,M,19
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,UNKN,28
MILWAUKEE,2017,Pedestrian,Fatality,F,4
MILWAUKEE,2017,Pedestrian,Fatality,M,9
MILWAUKEE,2017,Pedestrian,Fatality,UNKN,3
MILWAUKEE,2018,Bicyclist,Suspected Serious Injury,F,1
MILWAUKEE,2018,Bicyclist,Suspected Serious Injury,M,4
MILWAUKEE,2018,Bicyclist,Suspected Serious Injury,UNKN,3
MILWAUKEE,2018,Pedestrian,Suspected Serious Injury,F,10
MILWAUKEE,2018,Pedestrian,Suspected Serious Injury,M,31
MILWAUKEE,2018,Pedestrian,Suspected Serious Injury,UNKN,22
MILWAUKEE,2018,Pedestrian,Fatality,F,3
MILWAUKEE,2018,Pedestrian,Fatality,M,8
MILWAUKEE,2018,Pedestrian,Fatality,UNKN,6
MILWAUKEE,2019,Bicyclist,Suspected Serious Injury,F,2
MILWAUKEE,2019,Bicyclist,Suspected Serious Injury,M,6
MILWAUKEE,2019,Bicyclist,Suspected Serious Injury,UNKN,3
MILWAUKEE,2019,Pedestrian,Suspected Serious Injury,F,22
MILWAUKEE,2019,Pedestrian,Suspected Serious Injury,M,31
MILWAUKEE,2019,Pedestrian,Suspected Serious Injury,UNKN,18
MILWAUKEE,2019,Pedestrian,Fatality,F,4
MILWAUKEE,2019,Pedestrian,Fatality,M,6
MILWAUKEE,2019,Pedestrian,Fatality,UNKN,1
MILWAUKEE,2020,Bicyclist,Suspected Serious Injury,F,1
MILWAUKEE,2020,Bicyclist,Suspected Serious Injury,M,3
MILWAUKEE,2020,Bicyclist,Suspected Serious Injury,UNKN,1
MILWAUKEE,2020,Bicyclist,Fatality,F,1
MILWAUKEE,2020,Bicyclist,Fatality,M,2
MILWAUKEE,2020,Pedestrian,Suspected Serious Injury,F,6
MILWAUKEE,2020,Pedestrian,Suspected Serious Injury,M,24
MILWAUKEE,2020,Pedestrian,Suspected Serious Injury,UNKN,28
MILWAUKEE,2020,Pedestrian,Fatality,F,3
MILWAUKEE,2020,Pedestrian,Fatality,M,9
MILWAUKEE,2021,Bicyclist,Suspected Serious Injury,M,5
MILWAUKEE,2021,Bicyclist,Suspected Serious Injury,UNKN,5
MILWAUKEE,2021,Bicyclist,Fatality,M,1
MILWAUKEE,2021,Pedestrian,Suspected Serious Injury,F,10
MILWAUKEE,2021,Pedestrian,Suspected Serious Injury,M,28
MILWAUKEE,2021,Pedestrian,Suspected Serious Injury,UNKN,32
MILWAUKEE,2021,Pedestrian,Fatality,F,6
MILWAUKEE,2021,Pedestrian,Fatality,M,5
MILWAUKEE,2021,Pedestrian,Fatality,UNKN,6
MILWAUKEE,2022,Bicyclist,Suspected Serious Injury,F,2
MILWAUKEE,2022,Bicyclist,Suspected Serious Injury,M,5
MILWAUKEE,2022,Bicyclist,Suspected Serious Injury,UNKN,2
MILWAUKEE,2022,Bicyclist,Fatality,F,1
MILWAUKEE,2022,Bicyclist,Fatality,M,3
MILWAUKEE,2022,Bicyclist,Fatality,UNKN,1
MILWAUKEE,2022,Pedestrian,Suspected Serious Injury,F,13
MILWAUKEE,2022,Pedestrian,Suspected Serious Injury,M,20
MILWAUKEE,2022,Pedestrian,Suspected Serious Injury,UNKN,20
MILWAUKEE,2022,Pedestrian,Fatality,F,2
MILWAUKEE,2022,Pedestrian,Fatality,M,12
MILWAUKEE,2022,Pedestrian,Fatality,UNKN,9
MILWAUKEE,2023,Bicyclist,Suspected Serious Injury,F,1
MILWAUKEE,2023,Bicyclist,Suspected Serious Injury,M,4
MILWAUKEE,2023,Bicyclist,Suspected Serious Injury,UNKN,2
MILWAUKEE,2023,Bicyclist,Fatality,M,1
MILWAUKEE,2023,Pedestrian,Suspected Serious Injury,F,20
MILWAUKEE,2023,Pedestrian,Suspected Serious Injury,M,16
MILWAUKEE,2023,Pedestrian,Suspected Serious Injury,UNKN,33
MILWAUKEE,2023,Pedestrian,Fatality,F,1
MILWAUKEE,2023,Pedestrian,Fatality,M,12
MILWAUKEE,2023,Pedestrian,Fatality,UNKN,8
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,F,5
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,M,3
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,UNKN,3
MILWAUKEE,2024,Pedestrian,Suspected Serious Injury,F,13
MILWAUKEE,2024,Pedestrian,Suspected Serious Injury,M,23
MILWAUKEE,2024,Pedestrian,Suspected Serious Injury,UNKN,25
MILWAUKEE,2024,Pedestrian,Fatality,F,5
MILWAUKEE,2024,Pedestrian,Fatality,M,7
MILWAUKEE,2024,Pedestrian,Fatality,UNKN,4
