CNTYNAME,year,vulnerable_role,ped_inj_name,vulnerable_age,count
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,9,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,10,2
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,20,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,25,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,26,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,27,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,33,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,43,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,46,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,50,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,60,2
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,NA,2
MILWAUKEE,2017,Bicyclist,Fatality,63,1
MILWAUKEE,2017,Bicyclist,Fatality,83,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,5,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,6,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,8,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,9,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,10,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,11,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,12,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,15,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,17,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,18,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,19,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,20,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,21,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,22,3
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,23,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,24,3
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,25,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,27,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,28,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,32,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,33,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,34,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,35,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,36,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,37,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,38,5
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,41,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,43,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,44,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,45,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,46,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,47,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,48,4
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,51,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,52,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,55,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,57,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,58,3
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,59,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,60,2
