CNTYNAME,year,vulnerable_role,ped_inj_name,driver_age,count
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,20,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,27,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,28,2
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,33,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,37,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,40,2
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,45,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,46,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,49,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,57,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,66,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,68,1
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,NA,1
MILWAUKEE,2017,Bicyclist,Fatality,26,1
MILWAUKEE,2017,Bicyclist,Fatality,NA,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,15,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,16,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,19,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,20,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,21,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,22,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,23,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,24,3
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,25,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,26,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,27,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,29,2
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,30,3
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,31,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,34,1
